INFO 2023-10-29 07:15:40,756 autoreload Watching for file changes with StatReloader
DEBUG 2023-10-29 07:15:40,758 autoreload Waiting for apps ready_event.
DEBUG 2023-10-29 07:15:40,788 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-10-29 07:15:40,809 autoreload Watching dir C:\Users\user\Documents\Portfolio\PortFolio\Templates with glob **/*.
DEBUG 2023-10-29 07:15:40,810 autoreload Watching dir C:\Users\user\Documents\Portfolio\PortFolio\locale with glob **/*.mo.
DEBUG 2023-10-29 07:15:40,810 autoreload Watching dir C:\Users\user\Documents\Portfolio\PortFolio\PortFolioApp\locale with glob **/*.mo.
DEBUG 2023-10-29 07:15:40,949 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-10-29 07:15:40,956 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-10-29 07:15:41,299 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\sqlparse\engine\statement_splitter.py first seen with mtime 1698499641.2979786
DEBUG 2023-10-29 07:15:41,299 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\__init__.py first seen with mtime 1698499642.589746
DEBUG 2023-10-29 07:15:41,299 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1698499646.2209914
DEBUG 2023-10-29 07:15:41,299 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\utils\version.py first seen with mtime 1698499651.43612
DEBUG 2023-10-29 07:15:41,299 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1698499650.4997325
DEBUG 2023-10-29 07:15:41,299 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1698499650.4897518
DEBUG 2023-10-29 07:15:41,311 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_tzpath.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,311 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1698499650.925181
DEBUG 2023-10-29 07:15:41,312 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\html\entities.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,312 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\heapq.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,314 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1698499651.4423213
DEBUG 2023-10-29 07:15:41,314 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1698499650.6746855
DEBUG 2023-10-29 07:15:41,314 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1698499650.5312333
DEBUG 2023-10-29 07:15:41,314 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1698499650.371117
DEBUG 2023-10-29 07:15:41,314 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1698499650.9345095
DEBUG 2023-10-29 07:15:41,314 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\http\response.py first seen with mtime 1698499651.2098637
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1698499651.3738072
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1698499650.6826396
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\email\charset.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\db\models\expressions.py first seen with mtime 1698499650.8573
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\DLLs\_socket.pyd first seen with mtime 1696232528.0
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\asyncio\__init__.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\http\__init__.py first seen with mtime 1698499651.2024248
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\http\client.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\db\migrations\operations\models.py first seen with mtime 1698499650.8399942
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\nturl2path.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\utils\text.py first seen with mtime 1698499651.4207294
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\AppData\Local\Programs\Python\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1696232458.0
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\PortFolio\PortFolioApp\models.py first seen with mtime 1698500468.27081
DEBUG 2023-10-29 07:15:41,315 autoreload File C:\Users\user\Documents\Portfolio\port\Lib\site-packages\django\template\utils.py first seen with mtime 1698499651.257302
